id,rating_agency_name,file_creating_date,issued_paid,rating,rating_action_date,rating_action_class,obligor_sec_category,obligor_name,Ticker
1155,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,10/4/2017,HS,Corporate,Duke Realty Corp,DNB
1160,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,12/22/2017,WO,Corporate,E.I. du Pont de Nemours & Co,EMN
1161,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,11/15/2013,UP,Corporate,E.I. du Pont de Nemours & Co,EMN
1162,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,3/2/2011,DG,Corporate,E.I. du Pont de Nemours & Co,EMN
1163,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,12/3/2010,HS,Corporate,E.I. du Pont de Nemours & Co,EMN
1166,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,6/19/2014,HS,Corporate,Eastman Chemical Co,EV
1167,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/4/2012,WO,Corporate,Eastman Kodak Co,EBAY
1168,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,B-,9/1/2010,HS,Corporate,Eastman Kodak Co,EBAY
1169,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,6/1/2018,WO,Corporate,Eaton Corp PLC,ECL
1170,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,6/27/2012,DG,Corporate,Eaton Corp PLC,ECL
1171,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,6/4/2010,HS,Corporate,Eaton Corp PLC,ECL
1172,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,8/27/2015,DG,Corporate,eBay Inc,EIX
1173,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A+,11/5/2010,HS,Corporate,eBay Inc,EIX
1178,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,12/6/2018,WO,Corporate,Ecolab Inc,EW
1179,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,10/19/2012,HS,Corporate,Ecolab Inc,EW
1183,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/25/2018,WO,Corporate,Edwards Lifesciences Corp,EA
1184,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,11/12/2014,UP,Corporate,Edwards Lifesciences Corp,EA
1185,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,10/9/2013,HS,Corporate,Edwards Lifesciences Corp,EA
1186,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/2/2013,WO,Corporate,Elan Corp PLC,LLY
1187,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB-,8/22/2012,UP,Corporate,Elan Corp PLC,LLY
1188,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,B+,5/25/2011,NW,Corporate,Elan Corp PLC,LLY
1189,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/16/2011,WO,Corporate,Elan Corp PLC,LLY
1190,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,B-,8/18/2010,DG,Corporate,Elan Corp PLC,LLY
1191,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,B,6/4/2010,HS,Corporate,Elan Corp PLC,LLY
1192,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,10/29/2013,WO,Corporate,Granite Construction Inc,GXP
1193,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,9/23/2010,HS,Corporate,Granite Construction Inc,GXP
1199,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/25/2018,WO,Corporate,Danone SA,DRI
